"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_length_mm","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size","Adult_svl_cm","Longevity_d","Generation_length_d"
"1","Anthus rubescens","Carnivore","Other","13","TRUE","0","0","0","1","1","1","0","0","0","1","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,20.7171182632,364.617,3256.81250012175,4.9,NA,1862.775,1353.0029362485
"2","Bubo scandiacus","Carnivore","Nocturnal","8","TRUE","0","0","0","1","1","0","0","0","0","0","1","0","0","Aves","Strigiformes","Strigidae","Bubo",NA,2028.76,729.234,10227,6,59.5,5113.5,4426.743033975
"3","Buteo lagopus","Carnivore","Other","9","TRUE","1","0","1","1","1","1","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Buteo",NA,949.76,729.234,6866.7,4,53.5,6537.975,3656.77237308
"4","Calcarius lapponicus","Omnivore","Other","6","TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Passeriformes","Calcariidae","Calcarius",NA,27.8499994278,NA,2191.5,5,NA,1826.25,1202.9793579255
"5","Calidris bairdii","Carnivore","Other","11","TRUE","0","0","0","1","1","1","0","0","0","1","1","0","0","Aves","Charadriiformes","Scolopacidae","Calidris",NA,40.97,NA,NA,4,NA,NA,2688.44925793425
"6","Calidris fuscicollis","Carnivore","Other","10","FALSE","0","0","0","1","1","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Scolopacidae","Calidris",NA,44.55,365,2556.75,4,NA,2556.75,2688.44925793425
"7","Calidris melanotos","Carnivore","Other","12","TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Charadriiformes","Scolopacidae","Calidris",NA,81.4000015259,365,2161.06250012175,4,NA,2154.975,2688.44925793425
"8","Chen caerulescens","Herbivore","Other","8","TRUE","0","0","0","1","1","1","0","0","0","1","1","0","0","Aves","Anseriformes","Anatidae","Chen",NA,2633.1329345703,730.25,10044.375,4.2,75,9712.6062512175,3266.59598216025
"9","Dicrostonyx groenlandicus","Herbivore","Nocturnal","1","FALSE","0","0","0","1","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Cricetidae","Dicrostonyx",NA,56.42,50.555,1204.9125,3.59,13.716,1205.325,392.97
"10","Eremophila alpestris","Omnivore","Other","14","TRUE","0","0","1","1","0","0","0","0","0","1","1","0","0","Aves","Passeriformes","Alaudidae","Eremophila",NA,34.25,364.617,2922,3.52,NA,2891.563,1643.625
"11","Falco peregrinus","Carnivore","Other","58","TRUE","1","1","1","1","1","1","0","1","0","1","1","0","0","Aves","Falconiformes","Falconidae","Falco",NA,798,545.968,9131.25,3.5,41.875,6332.218,2405.952
"12","Larus hyperboreus",NA,"Other","19","FALSE","0","0","0","0","0","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Laridae","Larus",NA,1529.04,1460,7700.687,2.8,NA,7670.25,4525.265
"13","Lemmus trimucronatus","Herbivore","Nocturnal","1","FALSE","0","0","0","1","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Cricetidae","Lemmus",NA,65.31,50.56048,608.75000012175,6.625,13.5,608.75000012175,308.1925
"14","Mustela erminea","Carnivore","Other","14","TRUE","1","0","1","1","1","1","0","0","0","0","1","0","0","Mammalia","Carnivora","Mustelidae","Mustela",NA,119.38,161.54004,3248.8041667,6.7475,27.0325,4069.4937512175,1078.777858
"15","Phalaropus fulicarius","Carnivore","Other","13","FALSE","0","0","0","0","1","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Scolopacidae","Phalaropus",NA,55.9,363.468,2221.937,4,NA,2221.937,1788.508
"16","Plectrophenax nivalis","Herbivore","Other","5","FALSE","0","0","0","1","0","1","0","0","0","1","0","0","0","Aves","Passeriformes","Calcariidae","Plectrophenax",NA,42.2,364.617,3506.4,5.23,NA,3214.2,1421.773
"17","Pluvialis dominica","Carnivore","Other","6","TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Charadriiformes","Charadriidae","Pluvialis",NA,151.47,363.468,9466.063,3.93,NA,3250.725,2050.016
"18","Pluvialis squatarola","Carnivore","Other","8","FALSE","0","0","0","1","0","0","0","0","0","1","0","0","0","Aves","Charadriiformes","Charadriidae","Pluvialis",NA,233.5,774.6675,9344.312,4,NA,7414.575,2186.985
"19","Stercorarius longicaudus","Carnivore","Other","10","FALSE","0","0","0","1","0","0","0","0","1","0","0","0","0","Aves","Charadriiformes","Stercorariidae","Stercorarius",NA,288.5,1278.375,8035.5,2,NA,4017.75,4574.321
"20","Stercorarius parasiticus",NA,"Other","11","FALSE","0","0","0","1","0","0","0","0","1","0","0","0","0","Aves","Charadriiformes","Stercorariidae","Stercorarius",NA,445.5,1200,11359.27,2,NA,8979.062,4939.571
"21","Vulpes lagopus","Carnivore","Other","1","FALSE","0","0","0","1","0","0","0","0","0","0","0","0","0","Mammalia","Carnivora","Canidae","Vulpes",NA,3592.185,298.945,5499.3333333,7.885,61.9905,5478.75,1871.187117
