	Lepidoptera	Coleoptera	Diptera	Arachnida	Hymenoptera	Lichen	Moss	Sedge	Grass	Forb	Low shrubs (includ. berries)	Erect shrub (potential)	Trees	Accipiter gentilis	Accipiter striatus	Actitis macularius	Aegolius funereus	Agelaius phoeniceus	Alces alces	Anas acuta	Anas crecca	Anas platyrhynchos	Anas rubripes	Anser caerulescens	Anthus rubescens	Aquila chrysaetos	Ardea herodias	Asio flammeus	Asio otus	Aythya affinis	Aythya collaris	Aythya marila	Bombycilla cedrorum	Bonasa umbellus	Botaurus lentiginosus	Branta canadensis 	Branta hutchinsii	Bubo scandiacus	Bubo virginianus	Bucephala albeola	Bucephala clangula	Buteo jamaicensis	Buteo lagopus	Buteo platypterus	Calcarius lapponicus	Calidris minutilla	Calidris pusilla	Canis latrans	Canis lupus	Carduelis flammea	Carduelis pinus	Carduelis tristis	Carpodacus purpureus	Castor canadensis	Catharus guttatus	Catharus minimus	Catharus ustulatus	Certhia americana	Charadrius semipalmatus	Charadrius vociferus	Chordeiles minor	Circus hudsonius	Clangula hyemalis	Colaptes auratus	Condylura cristata	Contopus cooperi	Corvus brachyrhynchos	Corvus corax	Coturnicops noveboracensis	Cygnus columbianus	Dendroica castanea	Dendroica coronata	Dendroica magnolia	Dendroica palmarum	Dendroica petechia	Dendroica striata	Dendroica tigrina	Dendroica virens	Dicrostonyx hudsonius	Dolichonyx oryzivorus	Dryobates pubescens	Empidonax alnorum	Empidonax flaviventris	Empidonax minimus	Eremophila alpestris	Erethizon dorsatum	Euphagus carolinus	Falcipennis canadensis	Falco columbarius	Falco peregrinus	Falco sparverius	Gallinago delicata	Gavia immer	Gavia pacifica	Gavia stellata	Geothlypis trichas	Glaucomys sabrinus	Haliaeetus leucocephalus	Histrionicus histrionicus	Homo sapiens	Junco hyemalis	Lagopus lagopus	Lagopus muta	Lanius excubitor	Larus delawarensis	Larus glaucoides	Larus hyperboreus	Larus smithsonianus	Lasiurus cinereus	Lepus americanus	Lepus arcticus	Leuconotopicus villosus	Limnodromus griseus	Lontra canadensis	Loxia curvirostra	Loxia leucoptera	Lynx candensis	Mareca americana	Marmota monax	Martes americana	Megaceryle alcyon	Melanitta americana	Melanitta perspicillata	Melospiza georgiana	Melospiza lincolnii	Melospiza melodia	Mephitis mephitis	Mergus merganser	Mergus serrator	Microtus chrotorrhinus	Microtus pennsylvanicus	Mniotilta varia	Mus musculus	Mustela erminea	Mustela nivalis	Myodes gapperi	Myotis lucifugus	Napaeozapus insignis	Neovison vison	Odocoileus virginianus	Oenanthe oenanthe	Ondatra zibethicus	Oporornis philadelphia	Ovibos moschatus	Pandion haliaetus	Parkesia noveboracensis	Parus atricapillus	Parus hudsonicus	Passer domesticus	Passerculus sandwichensis	Passerella iliaca	Perisoreus canadensis	Peromyscus maniculatus	Petrochelidon pyrrhonota	Phalacrocorax auritus	Phalaropus fulicarius	Phalaropus lobatus	Phenacomys ungava	Picoides arcticus	Picoides tridactylus	Pinicola enucleator	Plectrophenax nivalis	Pooecetes gramineus	Porzana carolina	Rangifer tarandus	Regulus calendula	Regulus satrapa	Riparia riparia	Seiurus aurocapilla	Setophaga ruticilla	Sitta canadensis	Somateria mollissima	Sorex arcticus	Sorex cinereus	Sorex palustris	Sphyrapicus varius	Spizella arborea	Stercorarius longicaudus	Stercorarius parasiticus	Stercorarius pomarinus	Sterna hirundo	Sterna paradisaea	Strix nebulosa	Strix varia	Sturnella magna	Sturnus vulgaris	Surnia ulula	Synaptomys borealis	Synaptomys cooperi	Tachycineta bicolor	Tamias striatus	Tamiasciurus hudsonicus	Tringa melanoleuca	Tringa solitaria	Troglodytes troglodytes	Turdus migratorius	Tympanuchus phasianellus	Tyrannus tyrannus	Uria lomvia	Ursus americanus	Ursus maritimus	Vermivora celata	Vermivora peregrina	Vermivora ruficapilla	Vireo olivaceus	Vireo solitarius	Vulpes lagopus	Vulpes vulpes	Wilsonia canadensis	Wilsonia pusilla	Zapus hudsonicus	Zonotrichia albicollis	Zonotrichia leucophrys	Marine subsides	Terrestrial subsides	Aquatic subsides
Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0
Coleoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0
Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0
Arachnida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0
Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0
Lichen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sedge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Forb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
